per_fill,bits,num_of_insertion_call,num_of_insert,length_of_sequence,num_of_buckets,bucket_size,MNK,avg_MNK,sum_MNK,reduce,tp,fp,fn,tn,not_stored,random,insertion_time,insertion_time_avg,fingerprint_size,row_fill
0.196025,1.75638e+08,5488692,5488692,200,28000,1000,100,0,0,0,10000,0,0,0,0,True,18156.2,0.00330792,18,0
0.219548,1.75638e+08,5488692,5488692,200,25000,1000,100,0,0,0,10000,0,0,0,0,True,17983.1,0.0032764,18,0
0.274435,1.75638e+08,5488692,5488692,200,20000,1000,100,0,0,0,10000,0,0,0,0,True,18255.2,0.00332597,18,0
0.304927,1.75638e+08,5488692,5488692,200,18000,1000,100,0,0,0,10000,0,0,0,0,True,17779.9,0.00323937,18,0
0.457391,1.75638e+08,5488692,5488692,200,12000,1000,100,0,0,0,9998,0,0,0,0,True,17679.6,0.0032211,18,0
0.548869,1.75638e+08,5488692,5488692,200,10000,1000,100,0,0,0,9998,0,0,0,0,True,17974.1,0.00327475,18,0
1,1.6e+08,54639571,5000000,200,5000,1000,100,8.95493,4.91509e+07,0,338,0,9662,0,488692,True,85268.3,0.0155353,18,5000
0.784099,1.75638e+08,5488692,5488692,200,7000,1000,100,0,0,0,9998,0,0,0,0,True,17862.7,0.00325445,18,0
0.844414,1.75638e+08,5488692,5488692,200,6500,1000,100,0,0,0,10000,0,0,0,0,True,17170.4,0.00312833,18,0
0.795463,1.75638e+08,5488692,5488692,200,6900,1000,100,0,0,0,9999,0,0,0,0,True,17454.5,0.00318008,18,0
0.913766,1.72519e+08,5391220,5391220,20,5900,1000,100,0,0,0,10000,0,0,0,0,True,16705,0.00309856,18,20
0.921431,1.73966e+08,5436444,5436444,50,5900,1000,100,0,0,0,10000,0,0,0,0,True,16486.6,0.00303261,18,22
0.926176,1.74862e+08,5464437,5464437,100,5900,1000,100,0,0,0,10000,0,0,0,0,True,16523.4,0.00302381,18,44
0.930287,1.75638e+08,5488698,5488692,200,5900,1000,100,1.09316e-06,6,0,9999,0,0,0,0,True,17242.1,0.00314138,18,81
0.980222,1.72519e+08,5398933,5391220,20,5500,1000,100,0.00143066,7713,0,9986,0,13,0,0,True,16149,0.00299543,18,1894
0.984224,1.73223e+08,5427138,5413234,30,5500,1000,100,0.00256852,13904,0,9978,0,21,0,0,True,15975.8,0.00295125,18,2392
0.988444,1.73966e+08,5460917,5436444,50,5500,1000,100,0.00450166,24473,0,9960,0,38,0,0,True,16231.6,0.0029857,18,2945
0.993534,1.74862e+08,5517084,5464437,100,5500,1000,100,0.00963448,52647,0,9932,0,67,0,0,True,16533.4,0.00302564,18,3810
0.997944,1.75638e+08,5609505,5488692,200,5500,1000,100,0.0220113,120813,0,9854,0,144,0,0,True,17049.6,0.00310631,18,4776
1,1.664e+08,24811957,5200000,20,5200,1000,100,3.60229,1.94207e+07,0,1740,0,8259,0,191220,True,40952.7,0.00759618,18,5200
1,1.664e+08,27026714,5200000,30,5200,1000,100,3.99271,2.16135e+07,0,1354,0,8645,0,213234,True,43833.9,0.00809755,18,5200
1,1.664e+08,29380224,5200000,50,5200,1000,100,4.40431,2.39438e+07,0,1151,0,8849,0,236444,True,47864.1,0.0088043,18,5200
1,1.664e+08,32209659,5200000,100,5200,1000,100,4.89441,2.67452e+07,0,922,0,9078,0,264437,True,51280.8,0.00938445,18,5200
1,1.664e+08,34657622,5200000,200,5200,1000,100,5.31437,2.91689e+07,0,804,0,9196,0,288692,True,55595.6,0.0101291,18,5200
0.913766,1.72519e+08,5391220,5391220,20,5900,1000,100,0,0,0,9999,0,0,0,0,True,16041.2,0.00297543,18,11
0.166221,2.97868e+07,930838,930838,10,5600,1000,100,0,0,0,9912,0,0,0,0,True,2573,0.00276417,18,0
0.163305,2.97868e+07,930838,930838,10,5700,1000,100,0,0,0,9905,0,0,0,0,True,2566.21,0.00275688,18,0
0.160489,2.97868e+07,930838,930838,10,5800,1000,100,0,0,0,9916,0,0,0,0,True,2577.08,0.00276856,18,0
0.962718,1.72519e+08,5392121,5391220,20,5600,1000,100,0.000167124,901,0,9995,0,5,0,0,True,16127.7,0.00299148,18,764
0.945828,1.72519e+08,5391304,5391220,20,5700,1000,100,1.55809e-05,84,0,9999,0,0,0,0,True,15969.1,0.00296206,18,252
0.929521,1.72519e+08,5391221,5391220,20,5800,1000,100,1.85487e-07,1,0,9999,0,0,0,0,True,16006.6,0.00296902,18,63
0.966649,1.73223e+08,5414485,5413234,30,5600,1000,100,0.0002311,1251,0,9996,0,1,0,0,True,16066,0.00296791,18,889
0.94969,1.73223e+08,5413348,5413234,30,5700,1000,100,2.10595e-05,114,0,9997,0,1,0,0,True,16011.1,0.00295777,18,298
0.933316,1.73223e+08,5413242,5413234,30,5800,1000,100,1.47786e-06,8,0,9998,0,0,0,0,True,16037.6,0.00296267,18,93
0.970794,1.73966e+08,5438676,5436444,50,5600,1000,100,0.000410562,2232,0,9997,0,3,0,0,True,16229.7,0.00298536,18,1153
0.953762,1.73966e+08,5436691,5436444,50,5700,1000,100,4.54341e-05,247,0,9997,0,1,0,0,True,16236.8,0.00298665,18,424
0.937318,1.73966e+08,5436459,5436444,50,5800,1000,100,2.75916e-06,15,0,10000,0,0,0,0,True,16773.9,0.00308545,18,128
0.975792,1.74862e+08,5469322,5464437,100,5600,1000,100,0.000893962,4885,0,9990,0,7,0,0,True,16456.7,0.00301161,18,1615
0.958673,1.74862e+08,5464941,5464437,100,5700,1000,100,9.22327e-05,504,0,9998,0,1,0,0,True,16360.9,0.00299407,18,586
0.942144,1.74862e+08,5464471,5464437,100,5800,1000,100,6.22205e-06,34,0,9998,0,0,0,0,True,16381.3,0.00299781,18,177
0.980124,1.75638e+08,5496455,5488692,200,5600,1000,100,0.00141436,7763,0,9987,0,12,0,0,True,16907.5,0.00308043,18,1924
0.962928,1.75638e+08,5489674,5488692,200,5700,1000,100,0.000178913,982,0,9995,0,3,0,0,True,17051,0.00310657,18,776
0.946326,1.75638e+08,5488771,5488692,200,5800,1000,100,1.43932e-05,79,0,10000,0,0,0,0,True,17183.3,0.00313068,18,276
